Pattern String,Comment,Pattern Category,Pattern Type,Where in website?,Deceptive?,Website Page
273 units sold in the last 30 days,Product detail,Social Proof,Activity Notification,Product Page,No,https://kratomcrazy.com/product/multiple-strain-variety-pack/
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://ktmtwins.com/products/shift-manufacturing-ktm-690-enduro-side-stand-foot-extension?variant=33846139203
33 people are eyeing this item!,Product detail,Social Proof,Activity Notification,Product Page,No,https://leprix.com/shop/givenchy/shoulder-bags/chain-pandora-box-handbag-stingray-mini
2 people are looking right now,Product detail,Social Proof,Activity Notification,Product Page,No,https://lifestylebyps.com/collections/free-resources/products/style-mistakes-men-should-never-make-free-ebook
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://lilyvanity.com/collections/makeup/products/lilyvanity-waterproof-lipstick-pen?variant=936738193415
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://madamebridal.com/madison-james-mj368.html
"Jamie in Nashville, United States purchased",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://makegoodies.com/collections/car-accessories/products/universal-car-phone-mount
117 people have viewed this item in the last 7 days.,Product image,Social Proof,Activity Notification,Product Page,No,https://markselectrical.co.uk/24945_Fisher-%26-Paykel-American-Fridge-Freezer.html
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated ",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://mremountain.com/collections/imported-rare-snacks-and-curated-snack-collections/products/military-energy-gum-caffeinated-caffeine-meg-6-packs-mre-meal-ready-to-eat-fsr-first-strike-ration?variant=44611054797
3642 BOUGHT,Product detail,Social Proof,Activity Notification,Product Page,No,https://myfave.com/kuala-lumpur/chir-chir-malaysia-1-108-00-pavilion-elite-chir-chir-malaysia-rm100-cash-voucher-for-korean-fried-chicken-and-more-42766?referral=featured
"Mounif in Pittsburgh, United States purchased",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://nichecanvas.com/collections/best-sellers-1/products/abstract-art-canvas
2049 sold in the last 7 days,Product detail,Social Proof,Activity Notification,Product Page,No,https://nutrabay.com/product/ultimate-nutrition-prostar-100-whey-protein/
Someone in city just added Radiance - Nebulizing Diffuser® to their cart,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://organicaromas.com/products/essential-oil-diffuser-aromatherapy-radiance
1626 people seeing this product right now,Periodic popup. Randomized.,Social Proof,Activity Notification,Product Page,Yes,https://pclinkshop.co.za/shop/computing/mouse-keyboard-other/game-console/pdp-afterglow-lvl-3-stereo-headset-for-ps4-retail-box-no-warranty-on-software-pdp-051-031-au-lic/
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://pelacase.com/products/save-the-waves-black-google-pixel-2xl-eco-friendly-phone-case?variant=12170059087986
In other users' carts 59,Product detail,Social Proof,Activity Notification,Product Page,No,https://platt.com/platt-electric-supply/Locknuts-Steel/Multiple/1008/product.aspx?zpid=65918&reload=yes
5 Viewing This Product,Product detail,Social Proof,Activity Notification,Product Page,Yes,https://printfads.com/collections/jewelry/products/firefighters-mom-necklace?variant=21408203505744
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://puffy.com/products/puffy-mattress
Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,Periodic popup,Social Proof,Activity Notification,Product Page,Yes,https://purekana.com/products/mint-cbd-oil-40-servings/
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Periodic popup. Top left corner.,Social Proof,Activity Notification,Product Page,No,https://raenwear.com/collections/family-collection/products/unisex-mickey-mouse-inspired-3-piece-outfit
"Bobby in Decatur, United States just purchased",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://rednecknationstrong.com/products/mudweiser-rnss-54
"Jessica in Orange, United States purchased a Black 1920s Sequin Maxi Flapper Dress 12 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://retro-stage.com/products/1950s-lace-3-4-sleeve-swing-dress-1
"2,221 people have purchased this item",Right side popup,Social Proof,Activity Notification,Product Page,No,https://retro-stage.com/products/1950s-lace-3-4-sleeve-swing-dress-1
"19,302 people have added this item to cart",Right side popup,Social Proof,Activity Notification,Product Page,No,https://retro-stage.com/products/1950s-lace-3-4-sleeve-swing-dress-1
"25,439 people have viewed this item",Right side popup,Social Proof,Activity Notification,Product Page,No,https://retro-stage.com/products/1950s-lace-3-4-sleeve-swing-dress-1
Popular item! 🔥 27 people recently purchased this.,Product detail,Social Proof,Activity Notification,Product Page,No,https://riotsociety.com/collections/st-patricks-day-beer-stein-collection/products/hold-my-beer-stein-embroidered-mens-long-sleeve-t-shirt
"BERNARD in Philadelphia, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://rosymerry.com/collections/newest-products/products/vintage-plain-crew-neck-long-sleeve-plus-size-blouse
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),"Periodic popup, hardcoded in the page source",Social Proof,Activity Notification,Product Page,Yes,https://savethebeesproject.com/products/limited-edition-honeycomb-heart-necklace-bee-inspired
16 recently purchased it.,Product detail,Social Proof,Activity Notification,Product Page,No,https://savethebeesproject.com/products/limited-edition-honeycomb-heart-necklace-bee-inspired
🔥 9 people are viewing this.,Product detail,Social Proof,Activity Notification,Product Page,No,https://savethebeesproject.com/products/limited-edition-honeycomb-heart-necklace-bee-inspired
3 people are looking at this product,Product detail,Social Proof,Activity Notification,Product Page,No,https://secure.mdg.com/ProductDetail.aspx?ItemID=6510&CategoryID=2&guide=0
"Someone in Sasebo, Japan just bought",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://sexyrealsexdolls.com/collections/tpe-sex-dolls/products/150cm-4ft11-m-cup-bbw-big-hooters-sex-doll-booba
More than 752 users are adding shapewear to their cart. Is your size left?,Popup,Social Proof,Activity Notification,Product Page,No,https://shapermint.com/collections/sale/products/empetua-ultra-thin-high-waisted-panties?variant=7568059859004
17 people have added this item to cart,Right of page,Social Proof,Activity Notification,Product Page,No,https://shop.iravin.com/collections/women-clothing-sale/products/51031?variant=21434152616021
4 people have purchased this item,Right of page,Social Proof,Activity Notification,Product Page,No,https://shop.iravin.com/collections/women-clothing-sale/products/51031?variant=21434152616021
161 people have viewed this item,Right of page,Social Proof,Activity Notification,Product Page,No,https://shop.iravin.com/collections/women-clothing-sale/products/51031?variant=21434152616021
Someone in Egypt bought,Top right corner of page,Social Proof,Activity Notification,Product Page,No,https://shop.iravin.com/collections/women-clothing-sale/products/51031?variant=21434152616021
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://shop.ogadget.com/products/jelly
"1,142 people have added to cart recently",Right side of page,Social Proof,Activity Notification,Product Page,No,https://shop.ozobot.com/products/evo-educator-kit
"6,743 people have viewed recently",Right side of page,Social Proof,Activity Notification,Product Page,No,https://shop.ozobot.com/products/evo-educator-kit
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://shopthemint.com/collections/dresses/products/88949-red?variant=22779286323258
"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://shopurbansociety.com/collections/best-sellers/products/loca-windbreaker
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Product detail,Social Proof,Activity Notification,Product Page,No,https://shopurbansociety.com/collections/best-sellers/products/loca-windbreaker
105 pawrents are buying for their furkids now!,Randomized,Social Proof,Activity Notification,Product Page,Yes,https://shopus.furbo.com/products/furbo-dog-camera
339 users are currently active on our website,Popup in lower left corner,Social Proof,Activity Notification,Product Page,No,https://speedcubeshop.com/collections/5x5/products/shengshou-mr-m-magnetic-5x5
"William in Pago Pago, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://spparos.com/collections/summer-classics/products/steff-shoes
"Oscar from Cajamarca, Peru purchased",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://store.ringtoperfection.com/collections/bracelets/products/ultimate-multifunctional-self-defense-bracelet-necklace
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://sugarandcotton.com/collections/holiday-gift-ideas/products/luna-moon-nightlight-lamp
"Someone in Tornado, United States just bought Fresh Melon Menthol 2 hours ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://thedollarejuiceclub.com/products/churros-ice-cream
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://thesaucela.com/collections/vaporham-lincoln-ejuice/products/120ml-america-best-berry-vape-juice-vaporham-lincoln-eliquid
"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://topcoat.store/collections/web-specials/products/topcoat-f11-pro-prep-kit
"Ken in Three Bridges, United States purchased All Zebrawood + Olive Ash",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://treehut.co/products/all-wood-black-watch-all-ebony-theo-blue?variant=16089549537354
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://trendyparadize.com/collections/best-sellers/products/led-flower-crown?variant=11852764839978
"Someone in Alexandria, United States just bought TTDeye Queen Green Colored Contact Lenses",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://ttdeye.com/collections/popular-products/products/ice-green
"Jeremy in Warroad, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://ultimategametable.com/collections/elite-series/products/copy-of-table-of-ultimate-gaming-3-5-elite-series-standard-table-height?variant=12354495217752
1 person is looking at this item.,Product detail,Social Proof,Activity Notification,Product Page,No,https://urbanedcsupply.com/collections/all-available/products/jens-anso-nemo-carbon-fiber-titanium-custom
Get it fast! 14 added to bag today,Product image,Social Proof,Activity Notification,Product Page,No,https://us.pandora.net/en/classic-elegance-ring-clear-cz/196250CZ.html?rrec=true
"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://vapejuicedepot.com/collections/pod-systems/products/myle-pod-system-nicotine-delivery-device
Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://vapoureyes.com.au/collections/new-products/products/purge-mods-lady-justice-stacked-piece-mechanical-tube?variant=19530776379495
30 people have purchased this item,Right side of page,Social Proof,Activity Notification,Product Page,No,https://vickypick.com/collections/beauty/products/magnetic-shoe-insoles
Purchased 6 times this week.,On product image,Social Proof,Activity Notification,Product Page,No,https://victoriaplum.com/product/clarity-compact-white-wall-hung-vanity-unit-and-basin-410mm
17 people have viewed this wine today,Product detail,Social Proof,Activity Notification,Product Page,No,https://wineinsiders.com/wine/2017-hayton-family-syrah
24 people have purchased this wine today,Product detail,Social Proof,Activity Notification,Product Page,No,https://wineinsiders.com/wine/2017-hayton-family-syrah
"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://wowgoboard.com/collections/wowgo-board-3/products/wowgo-kit-electric-skateboard
8 customers have bought today,Randomized,Social Proof,Activity Notification,Cart Page,Yes,https://www.1sttheworld.com/collections/polyester-all-over-print-t-shirts-utm_source-menu-utm_medium-shop-utm_campaign-polyaoptshirt-utm_term-utm_content/products/netherlands-t-shirt?variant=19086079230021
80 Customers are considering this product right now.,Randomized,Social Proof,Activity Notification,Product Page,Yes,https://www.1sttheworld.com/collections/polyester-all-over-print-t-shirts-utm_source-menu-utm_medium-shop-utm_campaign-polyaoptshirt-utm_term-utm_content/products/netherlands-t-shirt?variant=19086079230021
24 sold in last 24 hours.,Randomized value and stored in cookie.,Social Proof,Activity Notification,Product Page,Yes,https://www.1sttheworld.com/collections/polyester-all-over-print-t-shirts-utm_source-menu-utm_medium-shop-utm_campaign-polyaoptshirt-utm_term-utm_content/products/netherlands-t-shirt?variant=19086079230021
21 people looked at this during the last 24 hours,Popup in lower left corner,Social Proof,Activity Notification,Product Page,No,https://www.2ndsworld.com.au/heater-fan-air-conditioner/air-conditioner/mitsubishi-electric-2-5kw-3-2kw-reverse-cycle-inverter-split-system-air-conditioner-1-id-MSZGL25VGDKIT
"Someone in Byron Bay, NSW just bought",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.4wdsupacentre.com.au/specials/weekly-deals/tradie-steel-roof-racks.html
Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.adultproductsindia.com/rotation-master-vibrating-dildo.html
Bought by 39 people in last few hours! HOT SELLER!,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-printed-voile-dupatta-18598
23 People viewing this product,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.allonlinestore.in/Navy-Linen-Cotton-Casual-Shirt-2787.html
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.apexhunting.com.au/p/crux-top-hunters-element/HE-94200300040xx
1 other customers have this item in their shopping cart,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.aptdeco.com/catalog/blu-dot-paramount-sectional-sofa-w-right-chaise
8 people are looking at this artwork,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.artsper.com/en/contemporary-artworks/sculpture/479965/fille-avec-ballon
104 people viewed this product recently!,Popup in right corner,Social Proof,Activity Notification,Product Page,No,https://www.aveda.com/product/17976/62091/best-sellers/shampure-nurturing-conditioner#/shade/8.5_fl_oz%2F250_ml
5 people are looking at this product right now,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.bbbsports.com/apparel/augusta-adult-wicking-long-sleeve-t-shirt/
19 people viewed this product per day,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.bbbsports.com/apparel/augusta-adult-wicking-long-sleeve-t-shirt/
6 other people looking at this item,Product detail. Randomized.,Social Proof,Activity Notification,Product Page,Yes,https://www.beyondretro.com/products/label-patchwork-navy-varsity-sweatshirt-4
"Edwin in Woodland Park, NJ just bought",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.blenderseyewear.com/products/cinder-bella?utm_source=recently&utm_medium=referral
65% of our customers added Surefit protection this year.,,Social Proof,Activity Notification,Cart Page,No,https://www.blindsdirect.co.uk/product/touched-by-design-essence-french-grey-faux-wood-venetian-blind
3 PEOPLE VIEWING,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.bobswatches.com/used-rolex-yacht-master-ii-ref-116680-ceramic-bezel.html
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.bokksu.com/products/1-month-classic-bokksu-subscription?variant=39038657226&__fg=117385&utm_source=fomo&utm_medium=notification
24 people currently interested,Product image carousel,Social Proof,Activity Notification,Product Page,No,https://www.bookmartialarts.com/punchcamp-spain-fitnesscamp-spain/8-days-martial-arts-training-camp-in-spain
"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.brandhousedirect.com.au/products/nike-mens-air-zoom-structure-18-premium-running-sport-shoes?variant=42576436677
3 people are looking at this item right now,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.brandsforless.ae/productdetails.aspx?p=JT-Rose-Floral-Box-Blue-313369&subcategory=Home-Living+Storage-Organization-354&mc=other
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.brosa.com.au/products/emily-king-gaslift-bed-frame?SKU=BDLB00132
DON'T LET 'EM GET AWAY Several people have recently viewed this item.,Popup. When you try to exit the page.,Social Proof,Activity Notification,Cart Page,No,"https://www.brownsshoes.com/PAMPA-SPORT-CUFF-WPN/229089,default,pd.html?dwvar_229089_color=033&prefn1=siteAssignment-text&prefv1=brown&start=1"
7 users have looked at this product in the past 6 minutes,Randomized,Social Proof,Activity Notification,Product Page,Yes,https://www.budexpressnow.ca/product/pink-lady/
